Product name,Detail page link,Image URL,Model No,SKU,Price
OnePlus - 9 5G 128GB (Unlocked) - Astral Black,https://www.bestbuy.com/site/oneplus-9-5g-128gb-unlocked-astral-black/6457035.p?skuId=6457035,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6457/6457035_sd.jpg;maxHeight=200;maxWidth=300,LE2115,6457035,499.99
Samsung - Galaxy Z Flip4 128GB (Unlocked) - Graphite,https://www.bestbuy.com/site/samsung-galaxy-z-flip4-128gb-unlocked-graphite/6512618.p?skuId=6512618,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6512/6512618_sd.jpg;maxHeight=200;maxWidth=300,SM-F721UZAAXAA,6512618,799.99
OnePlus - 8T 5G 256G (Unlocked) - Aquamarine Green,https://www.bestbuy.com/site/oneplus-8t-5g-256g-unlocked-aquamarine-green/6448201.p?skuId=6448201,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6448/6448201_sd.jpg;maxHeight=200;maxWidth=300,KB2005,6448201,599.99
Nokia - G10 32GB (Unlocked) - Night,https://www.bestbuy.com/site/nokia-g10-32gb-unlocked-night/6462915.p?skuId=6462915,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6462/6462915_sd.jpg;maxHeight=200;maxWidth=300,TA-1338,6462915,149.99
Samsung - Galaxy Z Fold4 512GB (Unlocked) - Phantom Black,https://www.bestbuy.com/site/samsung-galaxy-z-fold4-512gb-unlocked-phantom-black/6512625.p?skuId=6512625,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6512/6512625_sd.jpg;maxHeight=200;maxWidth=300,SM-F936UZKEXAA,6512625,"1,519.99"
Motorola Edge+ 512GB (Unlocked) 2022 - Cosmos Blue - Cosmos Blue,https://www.bestbuy.com/site/motorola-edge-512gb-unlocked-2022-cosmos-blue-cosmos-blue/6496780.p?skuId=6496780,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6496/6496780_sd.jpg;maxHeight=200;maxWidth=300,PAT60000US,6496780,699.99
Motorola - Moto G 5G 256GB (2022 Unlocked) - Moonlight Gray,https://www.bestbuy.com/site/motorola-moto-g-5g-256gb-2022-unlocked-moonlight-gray/6501829.p?skuId=6501829,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6501/6501829_sd.jpg;maxHeight=200;maxWidth=300,PATE0002US,6501829,299.99
Samsung - Galaxy S22+ 256GB (Unlocked) - Phantom Black,https://www.bestbuy.com/site/samsung-galaxy-s22-256gb-unlocked-phantom-black/6494449.p?skuId=6494449,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6494/6494449_sd.jpg;maxHeight=200;maxWidth=300,SM-S906UZKEXAA,6494449,"1,049.99"
Motorola - Moto G Power 2021 (Unlocked) 32GB Memory - Polar Silver,https://www.bestbuy.com/site/motorola-moto-g-power-2021-unlocked-32gb-memory-polar-silver/6441184.p?skuId=6441184,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6441/6441184_rd.jpg;maxHeight=200;maxWidth=300,PALF0011US,6441184,139.99
Samsung - Galaxy S22 256GB (Unlocked) - Phantom Black,https://www.bestbuy.com/site/samsung-galaxy-s22-256gb-unlocked-phantom-black/6494418.p?skuId=6494418,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6494/6494418_sd.jpg;maxHeight=200;maxWidth=300,SM-S901UZKEXAA,6494418,849.99
